               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10493,            0.021656,             0.03681,            0.038462,                   1,            0.058529,            0.017559,            0.054308,            0.011851,            0.035179,           0.0032479,           0.0032479,            0.070769
                   1,            0.083406,             0.02024,            0.020827,            0.017544,                   1,             0.24875,              0.0995,            0.037065,           0.0094748,            0.040496,           0.0065378,           0.0065378,            0.040726
                   2,            0.076681,            0.017158,            0.015587,            0.011765,                   1,               0.995,              0.6965,            0.034131,           0.0088848,            0.014423,           0.0097837,           0.0097837,            0.010638
                   3,            0.070614,            0.016438,            0.012209,             0.10265,                   1,              0.4975,            0.068406,            0.044085,           0.0082894,            0.012386,            0.009802,            0.009802,            0.009802
                   4,            0.060245,            0.014943,           0.0085549,             0.87449,                   1,               0.995,              0.6965,            0.022774,            0.008761,           0.0085414,            0.009802,            0.009802,            0.009802
                   5,            0.052582,            0.013172,           0.0071168,             0.95123,                   1,               0.995,              0.4975,              0.0249,            0.006494,           0.0025365,            0.009736,            0.009736,            0.009736
                   6,            0.049593,            0.011699,           0.0055255,             0.91181,                   1,               0.995,               0.995,            0.016028,           0.0054864,           0.0050871,             0.00967,             0.00967,             0.00967
                   7,            0.044916,            0.010702,           0.0051014,             0.93295,                   1,               0.995,              0.4975,            0.033455,           0.0043569,            0.001255,            0.009604,            0.009604,            0.009604
                   8,            0.041568,            0.010429,            0.004834,             0.94516,                   1,               0.995,              0.8955,            0.035291,           0.0032196,           0.0016811,            0.009538,            0.009538,            0.009538
                   9,            0.039642,            0.010269,           0.0044431,             0.95473,                   1,               0.995,               0.796,             0.01832,            0.004512,           0.0016309,            0.009472,            0.009472,            0.009472
                  10,             0.03712,           0.0095663,           0.0038149,             0.94424,                   1,               0.995,              0.6965,            0.031967,           0.0033542,           0.0026833,            0.009406,            0.009406,            0.009406
                  11,            0.036574,            0.009399,           0.0039804,             0.95026,                   1,               0.995,               0.796,            0.017334,           0.0036497,           0.0028251,             0.00934,             0.00934,             0.00934
                  12,            0.038246,           0.0095074,           0.0033987,             0.96271,                   1,               0.995,              0.8955,            0.015306,           0.0037022,            0.001624,            0.009274,            0.009274,            0.009274
                  13,            0.036156,           0.0090057,           0.0032069,             0.95918,                   1,               0.995,              0.8955,            0.018616,           0.0030992,           0.0030123,            0.009208,            0.009208,            0.009208
                  14,             0.03359,           0.0087642,           0.0030883,              0.9666,                   1,               0.995,               0.796,            0.024236,           0.0031818,           0.0020086,            0.009142,            0.009142,            0.009142
                  15,            0.035224,           0.0087895,           0.0028747,             0.96488,                   1,               0.995,              0.6965,            0.019369,           0.0030498,            0.001682,            0.009076,            0.009076,            0.009076
                  16,            0.033621,           0.0091696,           0.0029024,             0.96682,                   1,               0.995,              0.6965,            0.013145,            0.003405,           0.0020042,             0.00901,             0.00901,             0.00901
                  17,            0.030778,           0.0081885,             0.00306,             0.96767,                   1,               0.995,               0.995,            0.011864,           0.0026224,           0.0022294,            0.008944,            0.008944,            0.008944
                  18,            0.033059,           0.0081909,           0.0027816,             0.96827,                   1,               0.995,              0.6965,            0.016604,           0.0026823,           0.0022895,            0.008878,            0.008878,            0.008878
                  19,            0.031305,           0.0086448,           0.0025501,             0.96384,                   1,               0.995,              0.8955,            0.010724,           0.0025593,           0.0020198,            0.008812,            0.008812,            0.008812
                  20,            0.030474,           0.0082911,           0.0025438,             0.96975,                   1,               0.995,              0.6965,            0.018561,           0.0031128,          0.00079485,            0.008746,            0.008746,            0.008746
                  21,            0.030792,           0.0078646,           0.0026922,             0.96919,                   1,               0.995,               0.597,             0.02414,           0.0031686,          0.00084988,             0.00868,             0.00868,             0.00868
                  22,            0.028008,           0.0075226,           0.0025688,             0.96672,                   1,               0.995,               0.796,            0.013984,            0.002705,          0.00093586,            0.008614,            0.008614,            0.008614
                  23,            0.027451,           0.0078318,           0.0022125,             0.96857,                   1,               0.995,               0.796,            0.016872,           0.0026222,           0.0012726,            0.008548,            0.008548,            0.008548
                  24,            0.027634,           0.0077902,           0.0021839,             0.96868,                   1,               0.995,               0.796,            0.010815,           0.0027441,           0.0011303,            0.008482,            0.008482,            0.008482
                  25,            0.027161,           0.0075709,           0.0020499,             0.97005,                   1,               0.995,               0.796,            0.016394,           0.0032992,           0.0010087,            0.008416,            0.008416,            0.008416
                  26,            0.028215,            0.008173,           0.0021599,             0.96799,                   1,               0.995,              0.8955,            0.010006,           0.0024922,          0.00058693,             0.00835,             0.00835,             0.00835
                  27,            0.027886,           0.0079826,           0.0022106,             0.96684,                   1,               0.995,              0.8955,           0.0095254,           0.0021402,          0.00064381,            0.008284,            0.008284,            0.008284
                  28,            0.025551,            0.007741,           0.0020618,             0.96925,                   1,               0.995,              0.8955,            0.013963,           0.0023809,          0.00058868,            0.008218,            0.008218,            0.008218
                  29,            0.026834,           0.0078731,           0.0018487,             0.97043,                   1,               0.995,               0.796,            0.013168,           0.0024284,           0.0008401,            0.008152,            0.008152,            0.008152
                  30,            0.025676,            0.007387,           0.0017043,             0.97017,                   1,               0.995,              0.8955,            0.012303,           0.0022145,           0.0010414,            0.008086,            0.008086,            0.008086
                  31,             0.02556,            0.007517,           0.0017564,             0.96995,                   1,               0.995,              0.8955,            0.010969,           0.0021287,          0.00082316,             0.00802,             0.00802,             0.00802
                  32,             0.02756,           0.0078116,           0.0019199,             0.97007,                   1,               0.995,              0.8955,            0.011821,           0.0022832,          0.00071741,            0.007954,            0.007954,            0.007954
                  33,            0.024829,           0.0072069,            0.001738,             0.96949,                   1,               0.995,              0.8955,           0.0089276,           0.0020031,           0.0011361,            0.007888,            0.007888,            0.007888
                  34,            0.024729,           0.0073739,           0.0018238,             0.96922,                   1,               0.995,               0.796,            0.012266,           0.0025056,          0.00086674,            0.007822,            0.007822,            0.007822
                  35,            0.027075,           0.0070536,           0.0018728,             0.96982,                   1,               0.995,               0.796,            0.011958,           0.0030846,           0.0006316,            0.007756,            0.007756,            0.007756
